username,is_verified,is_private,is_business_account
punkrockamie,False,False,True
daliahammouri,False,True,False
monalisamalaysia,False,False,False
toritofeelings,False,True,False
alexruiz11,False,False,False
thetacticalbiscuit,False,False,False
moniquebeastie,False,False,False
santanasocialclub,False,False,True
shortasianman,False,True,False
jgbarnes33,False,False,False
sysyreeta,False,True,False
speidelphoto,False,False,False
fra.prs,False,False,False
meggy_mac_,False,False,False
urbanhippie15,False,False,False
deliberatehands,False,False,False
alannacatherine,False,False,False
jencolwil,False,True,False
susanbspankony,False,True,False
juliettemarin_,False,False,False
brookanngaston,False,False,False
alisoneburgess,False,True,False
mathieucrosby,False,True,False
naomi.dockery,False,False,False
kibasaurusrex,False,True,False
varina_hart,False,False,False
pilar_alcon,False,True,False
chairman_bao,False,True,False
fdnewlife_fosters,False,False,True
lleona15,False,False,False
jenba2000,False,True,False
shee_ra7,False,True,False
crissycriz_,False,False,False
hemptwinz,False,False,True
cris_traber,False,True,False
amberdoula,False,True,False
gravedi999er,False,False,False
bonniemarion,False,False,False
always.restless,False,False,False
espteaandcoffee,False,False,True
amiischenk,False,True,False
metahworldpeace,False,False,False
allisonmariadiazmora,False,False,False
barksinthebay,False,True,False
eenermai,False,False,False
vanderbabe,False,False,False
indyjaaz,False,False,False
otoebabe,False,False,False
k.lofthus,False,True,False
carl.h.b,False,True,False
scenic_cnic,False,True,False
peachvelveteen,False,False,False
aajacques,False,False,False
ilcasseroschiacciaevino,False,False,False
m_j__p,False,False,False
j_dline13,False,False,False
oliviasgonwilde,False,False,False
travisr96,False,True,False
mrsbarbaraanne,False,False,False
lizzerwhale,False,False,False
cade._.watson,False,True,False
pnwpineapple,False,False,False
alexandriarust,False,True,False
tedihotchkiss,False,False,True
houseofsinclair,False,True,False
kyler.kelley,False,False,False
tatopae,False,True,False
angelarprado,False,False,False
sari_post,False,False,False
suprasensorial,False,False,False
sadieawesomelady80,False,False,False
jamesberly,False,True,False
caitaclysm,False,False,False
mcitygrl7,False,True,False
rachaelcervenka,False,True,False
angelaleilani,False,False,False
rachellynnehughes,False,False,False
celestekazz,False,False,False
nateandgrays,False,True,False
gordonwurtman,False,True,False
boguedesigns,False,False,True
andreas.dhollandere,False,True,False
dcnc_hemp,False,False,True
beccabe7,False,True,False
thisiskersten,False,False,False
thedesertroamer,False,False,False
danlar4real,False,True,False
